path,tissue
aegis/raw/heart/ERX4319228.h5ad,heart
aegis/raw/heart/SRX15327295.h5ad,heart
aegis/raw/heart/SRX15327270.h5ad,heart
aegis/raw/heart/SRX24149507.h5ad,heart
aegis/raw/kidney/SRX15124655.h5ad,kidney
aegis/raw/kidney/SRX13325092.h5ad,kidney
aegis/raw/kidney/SRX13325099.h5ad,kidney
aegis/raw/kidney/SRX15124653.h5ad,kidney
aegis/raw/lung/SRX23724074.h5ad,lung
aegis/raw/lung/SRX19704175.h5ad,lung
aegis/raw/lung/ERX9138847.h5ad,lung
aegis/raw/lung/ERX9138869.h5ad,lung
aegis/raw/colon/SRX8726758.h5ad,colon
aegis/raw/colon/SRX14977819.h5ad,colon
aegis/raw/colon/SRX8726764.h5ad,colon
aegis/raw/colon/SRX8726763.h5ad,colon
aegis/raw/small_intestine/SRX24459565.h5ad,small_intestine
aegis/raw/small_intestine/SRX19766579.h5ad,small_intestine
aegis/raw/small_intestine/SRX19766577.h5ad,small_intestine
aegis/raw/small_intestine/SRX19766582.h5ad,small_intestine
aegis/raw/pancreas/SRX19176925.h5ad,pancreas
aegis/raw/skin/SRX28908219.h5ad,skin
aegis/raw/skin/SRX19447643.h5ad,skin
aegis/raw/skin/SRX28908187.h5ad,skin
aegis/raw/skin/ERX11148728.h5ad,skin
