path,tissue,srx,gcs,cells
aegis/raw/heart/ERX4319228.h5ad,heart,ERX4319228,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX4319228.h5ad,24081
aegis/raw/heart/SRX15327295.h5ad,heart,SRX15327295,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX15327295.h5ad,17755
aegis/raw/heart/SRX15327270.h5ad,heart,SRX15327270,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX15327270.h5ad,17382
aegis/raw/heart/SRX24149507.h5ad,heart,SRX24149507,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX24149507.h5ad,15395
aegis/raw/kidney/SRX15124655.h5ad,kidney,SRX15124655,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX15124655.h5ad,27220
aegis/raw/kidney/SRX13325092.h5ad,kidney,SRX13325092,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX13325092.h5ad,24308
aegis/raw/kidney/SRX13325099.h5ad,kidney,SRX13325099,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX13325099.h5ad,22609
aegis/raw/kidney/SRX15124653.h5ad,kidney,SRX15124653,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX15124653.h5ad,17669
aegis/raw/lung/SRX23724074.h5ad,lung,SRX23724074,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX23724074.h5ad,25234
aegis/raw/lung/SRX19704175.h5ad,lung,SRX19704175,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19704175.h5ad,20971
aegis/raw/lung/ERX9138847.h5ad,lung,ERX9138847,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX9138847.h5ad,16602
aegis/raw/lung/ERX9138869.h5ad,lung,ERX9138869,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX9138869.h5ad,15260
aegis/raw/colon/SRX8726758.h5ad,colon,SRX8726758,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX8726758.h5ad,9458
aegis/raw/colon/SRX14977819.h5ad,colon,SRX14977819,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX14977819.h5ad,7901
aegis/raw/colon/SRX8726764.h5ad,colon,SRX8726764,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX8726764.h5ad,7150
aegis/raw/colon/SRX8726763.h5ad,colon,SRX8726763,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX8726763.h5ad,6983
aegis/raw/small_intestine/SRX24459565.h5ad,small_intestine,SRX24459565,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX24459565.h5ad,8480
aegis/raw/small_intestine/SRX19766579.h5ad,small_intestine,SRX19766579,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19766579.h5ad,8228
aegis/raw/small_intestine/SRX19766577.h5ad,small_intestine,SRX19766577,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19766577.h5ad,5940
aegis/raw/small_intestine/SRX19766582.h5ad,small_intestine,SRX19766582,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19766582.h5ad,5906
aegis/raw/pancreas/SRX19176925.h5ad,pancreas,SRX19176925,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19176925.h5ad,17396
aegis/raw/skin/SRX28908219.h5ad,skin,SRX28908219,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX28908219.h5ad,20793
aegis/raw/skin/SRX19447643.h5ad,skin,SRX19447643,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX19447643.h5ad,19215
aegis/raw/skin/SRX28908187.h5ad,skin,SRX28908187,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/SRX28908187.h5ad,14066
aegis/raw/skin/ERX11148728.h5ad,skin,ERX11148728,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull_Ex50pAS/Homo_sapiens/ERX11148728.h5ad,13970
